============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
building network of steps: 
[1, 2, 3, 4] 10
 ********************** Block 1  **********************
|		inScales 3 outScales 3 inChannels 16 outChannels 6		|

 ********************** Block 2  **********************
|		inScales 3 outScales 3 inChannels 22 outChannels 6		|

|		inScales 3 outScales 3 inChannels 28 outChannels 6		|

 ********************** Block 3  **********************
|		inScales 3 outScales 3 inChannels 34 outChannels 6		|

|		inScales 3 outScales 2 inChannels 40 outChannels 6		|
|		Transition layer inserted! (max), inChannels 46, outChannels 23	|

|		inScales 2 outScales 2 inChannels 23 outChannels 6		|

 ********************** Block 4  **********************
|		inScales 2 outScales 2 inChannels 29 outChannels 6		|

|		inScales 2 outScales 2 inChannels 35 outChannels 6		|

|		inScales 2 outScales 1 inChannels 41 outChannels 6		|
|		Transition layer inserted! (max), inChannels 47, outChannels 23	|

|		inScales 1 outScales 1 inChannels 23 outChannels 6		|

---------------------
FLOPs: 6.86M, Params: 0.30M
---------------------
FLOPs: 14.35M, Params: 0.65M
---------------------
FLOPs: 26.13M, Params: 1.02M
---------------------
FLOPs: 38.04M, Params: 1.42M
building network of steps: 
[1, 2, 3, 4] 10
 ********************** Block 1  **********************
|		inScales 3 outScales 3 inChannels 16 outChannels 6		|

 ********************** Block 2  **********************
|		inScales 3 outScales 3 inChannels 22 outChannels 6		|

|		inScales 3 outScales 3 inChannels 28 outChannels 6		|

 ********************** Block 3  **********************
|		inScales 3 outScales 3 inChannels 34 outChannels 6		|

|		inScales 3 outScales 2 inChannels 40 outChannels 6		|
|		Transition layer inserted! (max), inChannels 46, outChannels 23	|

|		inScales 2 outScales 2 inChannels 23 outChannels 6		|

 ********************** Block 4  **********************
|		inScales 2 outScales 2 inChannels 29 outChannels 6		|

|		inScales 2 outScales 2 inChannels 35 outChannels 6		|

|		inScales 2 outScales 1 inChannels 41 outChannels 6		|
|		Transition layer inserted! (max), inChannels 47, outChannels 23	|

|		inScales 1 outScales 1 inChannels 23 outChannels 6		|

Files already downloaded and verified
Files already downloaded and verified
Number of training samples:  50000
Number of test samples:  10000
!!!!!! Load train_set_index !!!!!!
Epoch: [0][1/704]	Time 1.479	Data 1.065	Loss 18.59	Acc@1 0.0	Acc@5 6.2
Epoch: [0][11/704]	Time 0.244	Data 0.097	Loss 18.07	Acc@1 1.6	Acc@5 7.8
Epoch: [0][21/704]	Time 0.185	Data 0.051	Loss 17.48	Acc@1 4.7	Acc@5 12.5
Epoch: [0][31/704]	Time 0.164	Data 0.035	Loss 17.68	Acc@1 3.1	Acc@5 17.2
Epoch: [0][41/704]	Time 0.153	Data 0.026	Loss 17.40	Acc@1 1.6	Acc@5 10.9
Epoch: [0][51/704]	Time 0.147	Data 0.021	Loss 16.90	Acc@1 6.2	Acc@5 20.3
Epoch: [0][61/704]	Time 0.142	Data 0.018	Loss 17.00	Acc@1 1.6	Acc@5 12.5
Epoch: [0][71/704]	Time 0.139	Data 0.015	Loss 16.32	Acc@1 4.7	Acc@5 25.0
Epoch: [0][81/704]	Time 0.137	Data 0.013	Loss 16.97	Acc@1 6.2	Acc@5 23.4
Epoch: [0][91/704]	Time 0.135	Data 0.012	Loss 17.07	Acc@1 0.0	Acc@5 14.1
Epoch: [0][101/704]	Time 0.133	Data 0.011	Loss 16.61	Acc@1 6.2	Acc@5 21.9
Epoch: [0][111/704]	Time 0.132	Data 0.010	Loss 16.04	Acc@1 4.7	Acc@5 29.7
Epoch: [0][121/704]	Time 0.131	Data 0.009	Loss 15.95	Acc@1 4.7	Acc@5 23.4
Epoch: [0][131/704]	Time 0.130	Data 0.008	Loss 16.19	Acc@1 4.7	Acc@5 23.4
Epoch: [0][141/704]	Time 0.130	Data 0.008	Loss 16.35	Acc@1 4.7	Acc@5 25.0
Epoch: [0][151/704]	Time 0.129	Data 0.007	Loss 15.61	Acc@1 7.8	Acc@5 26.6
Epoch: [0][161/704]	Time 0.129	Data 0.007	Loss 15.61	Acc@1 12.5	Acc@5 32.8
Epoch: [0][171/704]	Time 0.128	Data 0.007	Loss 15.67	Acc@1 0.0	Acc@5 20.3
Epoch: [0][181/704]	Time 0.128	Data 0.006	Loss 16.37	Acc@1 9.4	Acc@5 20.3
Epoch: [0][191/704]	Time 0.127	Data 0.006	Loss 16.36	Acc@1 3.1	Acc@5 23.4
Epoch: [0][201/704]	Time 0.127	Data 0.006	Loss 16.07	Acc@1 9.4	Acc@5 26.6
Epoch: [0][211/704]	Time 0.127	Data 0.005	Loss 15.67	Acc@1 10.9	Acc@5 31.2
Epoch: [0][221/704]	Time 0.126	Data 0.005	Loss 15.32	Acc@1 12.5	Acc@5 31.2
Epoch: [0][231/704]	Time 0.126	Data 0.005	Loss 15.48	Acc@1 10.9	Acc@5 28.1
Epoch: [0][241/704]	Time 0.126	Data 0.005	Loss 15.28	Acc@1 15.6	Acc@5 35.9
